Test - BI (Search)
"August 1, 2026 - August 31, 2026"
Day,Campaign,Campaign type,Campaign state,Network (with search partners),Campaign bid strategy type,Impr.,Clicks,Conversions,Conv. value,Currency code,Cost
2026-08-01,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_BRAND_Search Ads,Search,Enabled,Google Search,Maximize Conversions,"1,465",451,37.27,"1,721,754.45",USD,222.26
2026-08-01,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Google Search,Maximize Conversions,"2,983",196,6.99,"1,594,703.73",USD,103.74
2026-08-01,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_CONS_Search Ads,Search,Enabled,Google Search,Maximize Conversions,"9,813",514,6.98,"2,141,734.24",USD,384.91
2026-08-01,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_COMP_Search Ads-2026,Search,Paused,Google Search,Maximize Conversions,"9,781",612,0.25,"101,836.55",USD,1290.41
2026-08-01,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_BRAND_Search Ads,Search,Enabled,Search partners,Maximize Conversions,53,0,1.00,0.00,USD,0.00
2026-08-01,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Search partners,Maximize Conversions,"1,863",28,0.00,0.00,USD,1.20
2026-08-01,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_CONS_Search Ads,Search,Enabled,Search partners,Maximize Conversions,"3,013",60,0.00,0.00,USD,3.13
2026-08-01,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_COMP_Search Ads-2026,Search,Paused,Search partners,Maximize Conversions,"1,978",28,0.00,0.00,USD,2.25
2026-08-01,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Google Display Network,Maximize Conversions,4,0,0.00,0.00,USD,0.00
2026-08-01,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_CONS_Search Ads,Search,Enabled,Google Display Network,Maximize Conversions,466,33,0.00,0.00,USD,0.65
2026-08-01,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_COMP_Search Ads-2026,Search,Paused,Google Display Network,Maximize Conversions,82,2,0.00,0.00,USD,0.08
2026-08-02,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_BRAND_Search Ads,Search,Enabled,Google Search,Maximize Conversions,"1,284",401,17.86,"799,000.00",USD,166.75
