Test - BI (Search)
1 de agosto de 2026 - 31 de agosto de 2026
Día,Campaña,Tipo de campaña,Estado de la campaña,Red (con asociados de búsqueda),Tipo de estrategia de oferta de la campaña,Impr.,Clics,Conversiones,Valor de conv.,Código de moneda,Costo
2026-08-01,ARG_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV_BRAND_Search Ads,Búsqueda,Habilitada,Búsqueda de Google,Maximizar conversiones,"2,877",430,165.00,"181,709.52",ARS,107276.05
2026-08-01,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Búsqueda de Google,Maximizar valor de conversión,"3,093",567,271.18,"27,665.30",USD,110.50
2026-08-01,ARG_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV_BRAND_Search Ads,Búsqueda,Habilitada,Asociados de búsqueda,Maximizar conversiones,312,12,0.00,0.00,ARS,1438.12
2026-08-01,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Asociados de búsqueda,Maximizar valor de conversión,182,5,0.00,0.00,USD,0.19
2026-08-02,ARG_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV_BRAND_Search Ads,Búsqueda,Habilitada,Búsqueda de Google,Maximizar conversiones,"6,396",875,208.97,"182,018.26",ARS,174459.02
2026-08-02,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Búsqueda de Google,Maximizar valor de conversión,"2,433",663,251.11,"15,396.77",USD,115.15
2026-08-02,ARG_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV_BRAND_Search Ads,Búsqueda,Habilitada,Asociados de búsqueda,Maximizar conversiones,623,10,2.00,"2,000.00",ARS,1247.44
2026-08-02,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Asociados de búsqueda,Maximizar valor de conversión,231,5,0.00,0.00,USD,0.26
2026-08-03,ARG_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV_BRAND_Search Ads,Búsqueda,Habilitada,Búsqueda de Google,Maximizar conversiones,"3,065",498,141.54,"145,243.97",ARS,191264.54
2026-08-03,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Búsqueda de Google,Maximizar valor de conversión,"2,876",567,290.17,"30,666.81",USD,126.86
2026-08-03,ARG_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV_BRAND_Search Ads,Búsqueda,Habilitada,Asociados de búsqueda,Maximizar conversiones,304,13,2.00,"2,000.00",ARS,3732.24
2026-08-03,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Asociados de búsqueda,Maximizar valor de conversión,143,4,0.00,0.00,USD,0.21
2026-08-04,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Búsqueda de Google,Maximizar valor de conversión,"3,358",544,289.26,"27,352.44",USD,127.17
2026-08-04,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Asociados de búsqueda,Maximizar valor de conversión,202,5,0.00,0.00,USD,0.16
2026-08-05,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Búsqueda de Google,Maximizar valor de conversión,"3,229",614,313.56,"30,958.74",USD,136.33
2026-08-05,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Asociados de búsqueda,Maximizar valor de conversión,174,2,0.00,0.00,USD,0.08
2026-08-06,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Búsqueda de Google,Maximizar valor de conversión,"4,007",550,222.99,"22,777.76",USD,116.07
2026-08-06,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Asociados de búsqueda,Maximizar valor de conversión,187,4,0.00,0.00,USD,0.15
2026-08-07,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Búsqueda de Google,Maximizar valor de conversión,"2,887",618,285.14,"20,824.55",USD,129.48
2026-08-07,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Asociados de búsqueda,Maximizar valor de conversión,362,7,0.00,0.00,USD,0.27
2026-08-08,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Búsqueda de Google,Maximizar valor de conversión,"3,692",541,209.98,"17,691.02",USD,128.36
2026-08-08,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Asociados de búsqueda,Maximizar valor de conversión,318,2,0.00,0.00,USD,0.10
2026-08-09,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Búsqueda de Google,Maximizar valor de conversión,"3,109",701,228.12,"17,713.96",USD,151.48
2026-08-09,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Asociados de búsqueda,Maximizar valor de conversión,390,8,3.00,400.00,USD,0.43
2026-08-10,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Búsqueda de Google,Maximizar valor de conversión,"2,329",408,170.74,"18,473.03",USD,103.13
2026-08-10,CO_DTH_PERF_GOOGLE ADS_AlwaysOn-CONV__Search Ads,Búsqueda,Habilitada,Asociados de búsqueda,Maximizar valor de conversión,169,2,0.00,0.00,USD,0.06
